address,nft
0x00DcF312F26829f85312139F2e31fe8545aD6849,black
0x9dbDaC671C2ab8C78523Cdf2DC6aD811237b19CE,black
0x95eb005E1c2B314a3B1216738Ead0667bAaD10A8,black
0x6B5e28Ae416fa5df66b6e2F053F36E4f349A0B04,black
0xa98d70eea8a086dBbf06D4DF4dEc3749a7521FA7,black
0x941bc77b26589bfc1562bEA7F16d965E55114AB4,black
0x7Ff36d2c4F6fD0090da5b4d9287814C1BD0Ce446,golden
0x45CcC20e833bf7c8BE7D5934e3D4Bf48251154F4,golden
0xD52b1950AcdE2B2A012f264BB5D2083AB1D254c4,golden
0x3110b116d101f872b3d0663c0759Cd4304364798,golden
0x36aEf1BFbD279B81d49EB3bbDb9762306EB43fC3,golden
0xCE12981b434708F355b177D8a3dF9BEeD882CdB4,golden
0xD35877aeA2f67F09f23537aa8A48bD1b5392D0C3,silver
0x49047cc4c53F3C46dF7FDb370429B165983Ab39e,silver
0x8d27d2CBad9d29bCBD831721ce8b9A28838d1A92,silver
0x99A6c051cB067F38F44D55CEda7927446E5DB73A,silver
0x6Ec45923AdF345314b5261167c39095545bca911,silver
0x0AFfC4ca4bFDA25803b21F07e61fd03a0Fa6A9A0,silver